trial,trial_condition,condition,attention,drug,count
232,41,1,1,false,46
233,39,5,2,false,34
234,40,3,2,false,25
235,40,5,2,false,18
236,38,6,2,false,46
237,42,1,1,false,31
238,41,5,2,false,23
239,39,4,1,false,39
240,41,3,2,false,20
241,42,5,2,false,16
242,39,6,2,false,38
243,40,2,2,false,23
244,41,2,2,false,25
245,40,6,2,false,26
246,42,2,2,false,19
247,40,4,1,false,30
248,41,4,1,false,38
249,41,6,2,false,29
250,42,3,2,false,22
251,42,4,1,false,41
252,43,5,2,true,25
253,44,5,2,true,15
254,43,4,1,true,31
255,43,3,2,true,12
256,43,1,1,true,21
257,44,1,1,true,18
258,43,2,2,true,12
259,45,1,1,true,22
260,45,5,2,true,10
261,46,5,2,true,8
262,44,4,1,true,24
263,47,5,2,true,18
264,44,3,2,true,13
265,45,4,1,true,13
266,44,2,2,true,9
267,45,2,2,true,14
268,42,6,2,true,9
269,46,4,1,true,6
270,47,4,1,true,16
271,46,2,2,true,11
272,47,2,2,true,12
273,48,5,2,true,23
274,43,6,2,true,18
275,46,1,1,true,22
276,45,3,2,true,15
277,46,3,2,true,15
278,47,1,1,true,17
279,48,1,1,true,27
280,44,6,2,true,14
281,47,3,2,true,14
282,45,6,2,true,13
283,48,2,2,true,11
284,48,4,1,true,28
285,48,3,2,true,21
286,46,6,2,true,19
287,47,6,2,true,27
288,49,4,1,false,43
289,49,2,2,false,29
290,49,5,2,false,11
291,50,5,2,false,28
292,48,6,2,false,40
293,49,1,1,false,44
294,49,6,2,false,33
295,50,2,2,false,44
296,50,6,2,false,35
297,50,4,1,false,43
298,50,1,1,false,46
299,51,6,2,false,32
300,51,4,1,false,38
301,52,6,2,false,23
302,52,4,1,false,37
303,49,3,2,false,28
304,51,2,2,false,25
305,52,2,2,false,28
